oct-96;142,90
nov-96;127,40
déc-96;113,60
janv-97;104,00
févr-97;119,70
mars-97;133,40
avr-97;149,50
mai-97;152,90
juin-97;146,30
juil-97;135,00
août-97;141,40
sept-97;128,90
oct-97;139,70
nov-97;117,10
déc-97;100,70
janv-98;106,40
févr-98;108,20
mars-98;133,20
avr-98;151,30
mai-98;154,00
juin-98;155,20
juil-98;154,60
août-98;141,50
sept-98;133,10
oct-98;139,80
nov-98;121,00
déc-98;104,60
janv-99;110,40
févr-99;120,40
mars-99;138,20
avr-99;148,80
mai-99;165,50
juin-99;160,30
juil-99;155,90
août-99;147,00
sept-99;155,60
oct-99;146,80
nov-99;133,00
déc-99;123,10
janv-00;117,80
févr-00;109,70
mars-00;147,20
avr-00;151,20
mai-00;165,00
juin-00;174,50
juil-00;175,80
août-00;163,80
sept-00;171,30
oct-00;173,50
nov-00;153,70
déc-00;144,20
janv-01;124,50
févr-01;126,40
mars-01;173,80
avr-01;179,50
mai-01;187,60
juin-01;172,30
juil-01;182,00
août-01;185,90
sept-01;164,00
oct-01;181,30
nov-01;138,10
déc-01;140,20
janv-02;142,90
févr-02;149,10
mars-02;156,20
avr-02;184,60
mai-02;197,90
juin-02;192,80
juil-02;187,60
août-02;192,00
sept-02;187,90
oct-02;180,40
nov-02;160,70
déc-02;136,00
janv-03;153,00
févr-03;145,10
mars-03;165,90
avr-03;160,50
mai-03;190,20
juin-03;170,20
juil-03;160,90
août-03;146,80
sept-03;150,10
oct-03;130,60
nov-03;115,20
déc-03;112,40
janv-04;95,00
févr-04;103,10
mars-04;123,80
avr-04;135,60
mai-04;136,50
juin-04;137,80
juil-04;127,90
août-04;121,20
sept-04;101,50
oct-04;115,00
nov-04;88,80
déc-04;68,90
janv-05;70,80
févr-05;78,40
mars-05;82,20
avr-05;89,50
mai-05;91,70
juin-05;102,50
juil-05;86,70
août-05;76,40
sept-05;73,90
oct-05;68,20
nov-05;47,50
déc-05;37,70
janv-06;31,90
févr-06;39,80
mars-06;42,70
avr-06;42,50
mai-06;52,20
juin-06;59,10
juil-06;56,80
août-06;52,90
sept-06;52,60
oct-06;44,50
nov-06;42,30
déc-06;36,60
janv-07;38,90
févr-07;40,70
mars-07;54,70
avr-07;62,00
mai-07;56,20
juin-07;53,80
juil-07;51,50
août-07;56,30
sept-07;53,00
oct-07;45,40
nov-07;40,60
déc-07;33,80
janv-08;40,20
févr-08;35,40
mars-08;49,90
avr-08;49,00
mai-08;54,00
juin-08;60,50
juil-08;57,60
août-08;54,50
sept-08;58,80
oct-08;53,20
nov-08;53,00
déc-08;42,70
janv-09;47,20
févr-09;49,70
mars-09;58,00
avr-09;66,80
mai-09;67,80
juin-09;74,70
juil-09;69,20
août-09;69,00
sept-09;75,80
oct-09;77,00
nov-09;62,20
déc-09;63,20
janv-10;58,70
févr-10;66,10
mars-10;83,30
avr-10;76,30
mai-10;87,20
juin-10;80,70
juil-10;84,00
août-10;80,40
sept-10;78,40
oct-10;78,40
nov-10;83,80
déc-10;67,60
janv-11;60,70
févr-11;65,10
mars-11;80,20
avr-11;94,90
mai-11;92,50
juin-11;87,30
juil-11;101,00
août-11;86,20
sept-11;94,20
oct-11;92,00
nov-11;75,80
déc-11;73,40
janv-12;73,00
févr-12;61,90
mars-12;79,70
avr-12;108,50
mai-12;99,60
juin-12;112,30
juil-12;107,20
août-12;99,20
sept-12;111,60
oct-12;90,90
nov-12;89,90
déc-12;78,10
janv-13;74,30
févr-13;84,10
mars-13;90,70
avr-13;106,20
mai-13;105,00
juin-13;111,60
juil-13;115,20
août-13;102,80
sept-13;95,00
oct-13;114,50
nov-13;87,80
déc-13;86,50
janv-14;82,30
févr-14;87,80
mars-14;97,10
avr-14;105,20
mai-14;106,00
juin-14;116,30
juil-14;112,30
août-14;102,60
sept-14;104,40
oct-14;109,60
nov-14;97,90
déc-14;81,40
janv-15;91,60
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
